Measurement #,Actual Engine Torque Static at Clutch (Nm),Air Temperature Sensor Voltage[HFM] (V),Air Temperature Sensor Voltage[ICO_DOWN] (V),Averaged Signal Voltage of Fuel Pressure Sensor (V),Battery Temperature (degree C),Blower Switch (   ),Coolant Temperature-ENG_Block (degree C),Coolant Temperature-ENG_Head (degree C),Coolant Temperature(Voltage)-ENG_Block (V),Coolant Temperature(Voltage)-ENG_Head (V),Cruise Control State (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[0] (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[1] (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[2] (   ),Cylinder Balancing Multiple Fuel Mass Correction Value-Cyl[3] (   ),Elec. Fuel Pump Relay (   ),Electrical Fuel Heater Relay Activated (   ),Engine Cooling Fan State (   ),Engine Operating State (   ),Engine Speed (rpm),Exhaust Temperature Sensor 0 Value-Upstream of the Turbo (degree C),Exhaust Temperature Sensor 0 Voltage-Upstream of the Turbo (V),Exhaust Temperature Sensor 1 Value-Upstream of Oxidation Catalyst (degree C),Exhaust Temperature Sensor 1 Voltage-Upstream of Oxidation Catalyst (V),Exhaust Temperature Sensor 2 Value-Upstream of DPF (degree C),Exhaust Temperature Sensor 2 Voltage-Upstream of DPF (V),Exhaust Temperature Sensor 3 Value-Upstream of the SCR (degree C),Exhaust Temperature Sensor 3 Voltage-Upstream of the SCR (V),Filtered Voltage from the Raw Voltage of Water in Fuel Analog Sensor (V),Fuel Correction by Injector Code-Cyl #1 (mg/stroke),Fuel Correction by Injector Code-Cyl #2 (mg/stroke),Fuel Correction by Injector Code-Cyl #3 (mg/stroke),Fuel Correction by Injector Code-Cyl #4 (mg/stroke),Fuel Pressure Set Point Value (MPa),Fuel Pressure Setpoint Maximum Limitation (MPa),Fuel Quantity (mg/stroke),Fuel Temperature Sensor (degree C),Gearbox Neutral Position Status Signal (   ),Immobilizer Status (   ),Intake Gas Temperature at HFM (degree C),Intake Gas Temperature Downstream Intercooler (degree C),Maximal Injection Time (ms),Oil Temperature (degree C),On-board Diagnosis State of the Gearbox by Gearbox Control Unit (   ),Oxygen Sensor Temperture 1 (Upstream) (degree C),Oxygen Sensor Temperture 2 (Downstream) (degree C),Position of Boost Pressure Actuator (%),Rail Pressure (MPa),Raw Voltage of Boost Pressure Sensor (V),Setpoint for the MAIN Injection Quantity (mg/stroke),Setpoint for the POST Injections Quantity[0] (mg/stroke),Setpoint for the POST Injections Quantity[1] (mg/stroke),Setpoint for the POST Injections Quantity[2] (mg/stroke),Setpoint for the PREV Injections Quantity[1] (mg/stroke),Setpoint for the PREV Injections Quantity[2] (mg/stroke),Speed Sensor Information Input State (   ),State of Charge (%),State of Function (V),State of Health (%),Status of Aftersales Particulate Filter Regeneration Process (   ),Status of Glow Control Unit (   ),Time Based Fuel Consumption (L/h),Value of Actual Absolute Brake Boost Pressure (hPa),Vehicle Speed (km/h),Voltage from Differential Pressure Sensor on EGR Valve (V),Voltage from Differential Pressure Sensor on Particulate Filter (V),Voltage Raw Value of Fuel Temperature (V)
155,225,2.452,1.705,3.097,24.750,ON,98.938,89.320,0.471,0.366,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2371,653.662,1.971,433.412,1.689,412.725,1.659,343.100,1.550,0,-0.608,0.912,0,-0.912,175.464,210.004,41.424,38,OFF,Learnt,20.773,37.312,8,105,0,798.812,799.812,53.030,175.501,3.439,38.960,0,0,0,1.100,1.368,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.025,924.362,133,1.547,1.300,1.667
156,224.875,2.452,1.703,3.097,24.750,ON,99.164,91.219,0.450,0.364,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2367,657.975,1.976,436.725,1.693,413.537,1.660,343.850,1.552,0,-0.608,0.912,0,-0.912,175.470,210.004,41.440,38,OFF,Learnt,20.773,37.367,8,104,0,799.812,799.812,53.468,175.623,3.461,38.980,0,0,0,1.100,1.368,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.047,925.605,133,1.486,1.337,1.666
157,224.750,2.452,1.700,3.102,24.750,ON,99.727,93.125,0.430,0.358,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2367,659.100,1.978,438.412,1.697,415.162,1.663,344.600,1.553,0,-0.608,0.912,0,-0.912,175.476,210.004,41.416,38,OFF,Learnt,20.773,37.430,8,104,0,799.812,799.812,53.827,175.293,3.647,39.056,0,0,0,1.100,1.368,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.068,924.362,133,1.558,1.265,1.667
158,228.375,2.452,1.696,3.104,24.750,ON,100.062,95.133,0.408,0.354,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2374,657.975,1.976,440.100,1.699,416.787,1.665,346.100,1.555,0,-0.608,0.912,0,-0.912,175.629,210.004,42.520,38,OFF,Learnt,20.773,37.547,8,104,0,799.812,799.812,52.896,175.733,3.672,40.004,0,0,0,1.100,1.352,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.090,924.362,133,1.545,1.268,1.667
159,228.750,2.455,1.692,3.106,24.750,ON,100.281,94.578,0.414,0.352,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2367,660.162,1.979,442.600,1.703,418.412,1.667,346.850,1.556,0,-0.608,0.912,0,-0.912,175.794,210.004,42.516,38,OFF,Learnt,20.719,37.641,8,104,0,799.812,801.500,52.751,175.702,3.466,40.084,0,0,0,1.100,1.348,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.112,924.362,133,1.536,1.296,1.666
160,228.750,2.455,1.688,3.101,24.750,ON,94.016,86.516,0.502,0.420,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2365,660.162,1.979,445.225,1.705,420.037,1.670,347.600,1.558,0,-0.608,0.912,0,-0.912,175.757,210.004,42.524,38,OFF,Learnt,20.719,37.727,8,104,0,801.500,799.812,52.684,175.537,3.446,40.084,0,0,0,1.100,1.348,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.133,924.362,133,1.559,1.283,1.666
161,233.500,2.454,1.686,3.109,24.750,ON,91.555,84.172,0.527,0.447,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2366,661.287,1.980,446.912,1.709,421.725,1.672,348.287,1.559,0,-0.608,0.912,0,-0.912,176.032,210.004,43.768,38,OFF,Learnt,20.742,37.789,8,105,0,801.500,799.812,52.043,176.221,3.574,41.344,0,0,0,1.100,1.332,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.155,924.362,132,1.449,1.304,1.666
162,237.500,2.454,1.683,3.109,24.750,ON,92.789,81.039,0.562,0.433,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2365,665.662,1.984,450.350,1.714,424.225,1.676,349.037,1.560,0,-0.608,0.912,0,-0.912,176.453,210.004,44.848,39,OFF,Learnt,20.742,37.852,8,105,0,799.812,799.812,51.761,176.343,3.698,42.444,0,0,0,1.100,1.312,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.205,924.362,132,1.476,1.306,1.666
163,233.500,2.452,1.683,3.113,24.750,ON,93.125,83.055,0.540,0.430,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2367,662.350,1.978,455.537,1.721,425.912,1.678,350.537,1.563,0,-0.608,0.912,0,-0.912,176.325,210.004,43.780,39,OFF,Learnt,20.773,37.852,8,104,0,801.500,799.812,53.038,175.983,3.596,40.976,0,0,0,1.100,1.336,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.230,924.362,132,1.600,1.277,1.665
164,224.875,2.451,1.683,3.097,24.750,ON,92.789,87.641,0.490,0.433,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2375,661.287,1.980,458.100,1.725,428.412,1.682,351.287,1.564,0,-0.608,0.912,0,-0.912,175.610,210.004,41.508,39,OFF,Learnt,20.797,37.852,8,104,0,799.812,799.812,53.107,175.678,3.557,39.012,0,0,0,1.100,1.368,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.252,924.362,133,1.523,1.277,1.664
165,216.625,2.451,1.678,3.088,24.750,ON,93.008,90.320,0.460,0.431,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2380,661.287,1.979,456.412,1.722,430.037,1.685,352.100,1.565,0,-0.608,0.912,0,-0.912,175.098,210.004,39.344,39,OFF,Learnt,20.797,37.969,8,104,0,799.812,799.812,54.250,174.902,3.516,36.732,0,0,0,1.100,1.400,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.270,924.362,133,1.512,1.263,1.665
166,207.500,2.451,1.676,3.002,24.750,ON,93.680,92.227,0.439,0.424,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2382,650.412,1.970,451.225,1.716,432.537,1.688,352.850,1.566,0,-0.608,0.912,0,-0.912,170.368,210.004,36.988,39,OFF,Learnt,20.797,38.031,8,104,0,798.812,799.812,55.028,170.636,3.213,33.772,0,0,0,1.100,1.428,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.284,924.362,133,1.406,1.300,1.663
167,189.375,2.449,1.675,2.884,24.750,ON,94.016,93.344,0.427,0.420,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2390,637.537,1.956,445.225,1.708,433.412,1.689,353.600,1.567,0,-0.608,0.912,0,-0.912,161.469,210.004,33.132,39,OFF,Learnt,20.844,38.062,8,104,0,798.812,799.812,55.176,161.444,3.110,30.428,0,0,0,1.100,1.448,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.295,924.362,134,1.379,1.267,1.664
168,170.375,2.448,1.671,2.826,24.750,ON,94.352,94.578,0.414,0.416,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2391,628.912,1.945,436.725,1.694,435.037,1.691,354.350,1.569,0,-0.608,0.912,0,-0.912,157.471,210.004,29.576,39,OFF,Learnt,20.867,38.148,8,104,0,799.812,799.812,53.612,157.294,3.018,26.796,0,0,0,1.100,1.444,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.306,924.362,134,1.383,1.267,1.663
169,153.875,2.446,1.672,2.749,24.750,ON,94.914,95.359,0.405,0.410,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2391,613.350,1.927,428.412,1.685,435.912,1.693,355.162,1.569,0,-0.608,0.912,0,-0.912,152.625,210.004,27.620,39,OFF,Learnt,20.891,38.117,8,105,0,799.812,799.812,53.465,152.478,2.864,24.896,0,0,0,1.100,1.444,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.310,924.362,134,1.370,1.221,1.663
170,142.375,2.445,1.676,2.686,24.750,ON,95.922,95.695,0.402,0.399,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2390,606.100,1.915,423.350,1.676,435.912,1.693,355.162,1.570,0,-0.608,0.912,0,-0.912,148.560,210.004,25.780,39,OFF,Learnt,20.914,38.031,8,105,0,799.812,799.812,53.745,148.877,2.677,22.492,0,0,0,1.100,1.444,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.306,923.118,134,1.305,1.234,1.663
171,131,2.445,1.678,2.599,24.750,ON,97.594,93.461,0.426,0.381,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2388,597.850,1.907,418.412,1.667,435.912,1.693,355.912,1.571,0,-0.608,0.912,0,-0.912,143.097,210.004,23.940,39,OFF,Learnt,20.914,37.969,8,105,0,797.750,799.812,57.454,143.182,2.554,20.328,0,5.492,0,1.196,1.400,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.302,924.362,134,1.294,1.168,1.664
172,119.625,2.441,1.687,2.316,24.750,ON,98.719,92.117,0.441,0.369,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2391,663.475,1.943,430.037,1.676,435.037,1.692,355.912,1.571,0,-0.608,0.912,0,-0.912,123.468,210.004,24.324,39,OFF,Learnt,20.992,37.758,8,105,0,798.812,798.812,52.185,123.480,2.318,16.452,0,16.384,0,1.400,1.300,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.317,924.362,134,1.187,1.194,1.661
173,104.500,2.440,1.707,2.227,24.750,ON,99.273,92.789,0.433,0.363,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2392,687.912,2.007,460.725,1.724,434.225,1.691,355.162,1.570,0,-0.608,0.912,0,-0.912,117.542,210.004,21.692,39,OFF,Learnt,21.016,37.281,8,105,0,803.750,797.750,48.340,117.645,2.046,13.564,0,17.564,0,1.400,1.300,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.328,924.362,134,1.246,1.116,1.661
174,91.500,2.438,1.729,2.150,24.750,ON,99.836,93.906,0.421,0.356,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2394,678.850,1.996,489.725,1.765,433.412,1.689,355.162,1.570,0,-0.608,0.912,0,-0.912,112.146,210.004,19.564,39,OFF,Learnt,21.062,36.734,8,105,0,803.750,799.812,43.857,112.244,1.833,11.968,0,16.960,0,1.400,1.300,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.335,924.362,134,1.116,1.125,1.661
175,83.750,2.437,1.748,2.088,24.750,ON,99.945,94.914,0.410,0.355,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2387,720.100,2.041,520.037,1.804,433.412,1.689,355.162,1.569,0,-0.608,0.912,0,-0.912,108.008,210.004,18.636,39,OFF,Learnt,21.086,36.258,8,105,0,801.500,798.812,42.929,108.173,1.852,11.192,0,16.544,0,1.400,1.300,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.346,924.362,134,1.228,1.080,1.661
176,72.375,2.434,1.766,2.005,24.750,ON,99.945,94.688,0.413,0.355,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2396,747.412,2.069,542.600,1.835,431.725,1.687,354.350,1.569,0,-0.608,0.912,0,-0.912,102.380,210.004,17.332,39,OFF,Learnt,21.141,35.805,8,105,0,803.750,799.812,41.432,102.405,1.714,10.180,0,15.732,0,1.400,1.288,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.349,924.362,134,1.221,1.074,1.660
177,60.750,2.433,1.787,1.926,24.750,ON,95.250,88.086,0.485,0.406,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2389,761.975,2.085,562.037,1.860,431.725,1.687,353.600,1.567,0,-0.608,0.912,0,-0.912,97.095,210.004,16.076,39,OFF,Learnt,21.164,35.297,8,105,0,801.500,801.500,38.303,97.174,1.525,9.016,0,16.240,0,1.400,1.256,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.353,924.362,134,1.071,1.129,1.660
178,49,2.430,1.809,1.877,24.750,ON,94.461,87.414,0.492,0.415,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2388,770.537,2.095,577.787,1.880,431.725,1.687,353.600,1.567,0,-0.608,0.912,0,-0.912,92.072,210.004,11.096,39,OFF,Learnt,21.211,34.758,8,105,0,821.750,798.812,46.280,91.846,1.765,7.368,1.180,1.256,0,1.080,1.324,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.335,925.605,134,1.075,1.089,1.660
179,32.375,2.428,1.836,1.734,24.750,ON,94.797,83.273,0.537,0.411,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2391,691.287,2.023,558.162,1.863,432.537,1.688,352.850,1.566,0,-0.608,0.912,0,-0.912,84.247,210.004,9.244,39,OFF,Learnt,21.258,34.094,8,105,0,796.750,799.812,51.976,84.326,1.884,5.840,0.916,0,0,1.032,1.272,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.310,925.605,134,1.097,1.139,1.659
180,14.500,2.424,1.847,1.592,24.750,ON,94.578,82.938,0.541,0.414,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2398,584.787,1.909,519.100,1.816,435.037,1.692,352.100,1.565,0,-0.608,0.912,0,-0.912,74.561,210.004,6.952,39,OFF,Learnt,21.336,33.828,8,105,0,795.750,797.750,68.051,74.622,1.967,3.756,0.716,0,0,1,1.180,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.281,925.605,134,1.088,1.095,1.659
181,-5.125,2.419,1.863,1.477,24.750,ON,94.352,86.742,0.499,0.416,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2395,512.600,1.808,490.600,1.774,436.725,1.694,351.287,1.564,0,-0.608,0.912,0,-0.912,66.650,210.004,3.360,39,OFF,Learnt,21.430,33.438,8,105,0,796.750,798.812,59.226,66.644,1.914,1.076,0,0,0,0.936,1.008,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.248,925.605,134,1.096,1.097,1.658
182,-16.250,2.421,1.880,1.417,24.750,ON,94.461,88.312,0.482,0.415,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2388,436.725,1.703,457.287,1.727,440.912,1.699,351.287,1.564,0,-0.608,0.912,0,-0.912,62.567,210.004,1.316,39,OFF,Learnt,21.406,33.016,8,104,0,797.750,799.812,61.507,62.647,2.025,0.940,0,0,0,0,0,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.176,925.605,134,1.205,1.157,1.656
183,-24.750,2.427,1.902,1.407,24.750,ON,94.914,89.539,0.469,0.410,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Fuel Cut Off,2389,371.225,1.603,423.350,1.680,445.225,1.707,352.100,1.564,0,-0.608,0.912,0,-0.912,60.846,210.004,0,39,OFF,Learnt,21.289,32.477,8,104,0,798.812,799.812,58.357,61.157,1.960,0,0,0,0,0,0,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.137,925.605,134,1.200,1.160,1.655
184,-23.750,2.428,1.925,1.414,24.750,ON,94.125,90.438,0.459,0.419,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Fuel Cut Off,2388,316.725,1.514,391.725,1.631,452.100,1.715,352.100,1.565,0,-0.608,0.912,0,-0.912,60.797,210.004,0,39,OFF,Learnt,21.258,31.906,8,105,0,799.812,799.812,58.569,61.725,1.865,0,0,0,0,0,0,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.097,925.605,134,1.184,1.157,1.656
185,-23.750,2.428,1.943,1.418,24.750,ON,93.789,90.992,0.453,0.422,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Fuel Cut Off,2384,277.162,1.444,364.350,1.588,458.975,1.726,352.850,1.566,0,-0.608,0.912,0,-0.912,60.730,210.004,0,39,OFF,Learnt,21.258,31.453,8,105,0,799.812,798.812,58.354,62.024,1.843,0,0,0,0,0,0,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.058,925.605,134,1.219,1.129,1.655
186,-23.750,2.428,1.963,1.422,24.750,ON,94.352,91.664,0.446,0.416,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Fuel Cut Off,2384,249.537,1.393,342.412,1.553,466.725,1.737,352.850,1.566,0,-0.608,0.912,0,-0.912,60.651,210.004,0,39,OFF,Learnt,21.258,30.969,8,105,0,799.812,799.812,58.070,62.207,1.752,0,0,0,0,0,0,CAN and Hardwired,82.812,9.550,99.609,0,OFF,9.022,926.766,134,1.184,1.144,1.655
187,-23.750,2.428,1.980,1.423,24.750,ON,95.359,92.227,0.439,0.405,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Fuel Cut Off,2383,230.537,1.354,325.350,1.523,473.787,1.746,353.600,1.567,0,-0.608,0.912,0,-0.912,60.590,210.004,0,39,OFF,Learnt,21.258,30.555,8,105,0,799.812,799.812,57.716,62.372,1.766,0,0,0,0,0,0,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.986,926.766,133,1.177,1.147,1.654
188,-23.750,2.430,1.995,1.424,24.750,ON,96.141,92.672,0.435,0.397,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Fuel Cut Off,2377,214.725,1.326,310.225,1.499,479.975,1.754,353.600,1.567,0,-0.608,0.912,0,-0.912,60.541,210.004,0,39,OFF,Learnt,21.211,30.195,8,104,0,801.500,799.812,57.428,62.494,1.754,0,0,0,0,0,0,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.914,926.766,133,1.172,1.146,1.655
189,-23.750,2.429,2.010,1.425,24.750,ON,96.812,93.008,0.431,0.389,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Fuel Cut Off,2376,202.162,1.299,295.912,1.473,486.162,1.764,353.600,1.567,0,-0.608,0.912,0,-0.912,60.443,210.004,0,39,OFF,Learnt,21.234,29.828,8,104,0,799.812,799.812,57.143,62.555,1.715,0,0,0,0,0,0,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.878,926.766,133,1.174,1.149,1.654
190,-23.750,2.429,2.024,1.426,24.750,ON,97.266,93.234,0.428,0.385,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Fuel Cut Off,2375,192.975,1.281,284.787,1.453,490.600,1.770,354.350,1.567,0,-0.608,0.912,0,-0.912,60.370,210.004,0,39,OFF,Learnt,21.234,29.539,8,105,0,801.500,799.812,57.147,62.555,1.774,0,0,0,0,0,0,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.842,928.010,133,1.165,1.145,1.653
191,-23.750,2.428,2.039,1.425,24.750,ON,97.594,93.570,0.425,0.381,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Fuel Cut Off,2369,184.412,1.263,274.412,1.434,493.350,1.774,354.350,1.569,0,-0.608,0.912,0,-0.912,60.272,210.004,0,39,OFF,Learnt,21.258,29.219,8,105,0,799.812,799.812,57.146,62.555,1.772,0,0,0,0,0,0,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.806,928.010,132,1.160,1.151,1.654
192,-23.875,2.429,2.052,1.425,24.750,ON,97.930,93.789,0.422,0.377,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Fuel Cut Off,2366,178.912,1.251,265.662,1.418,494.287,1.775,354.350,1.569,0,-0.608,0.912,0,-0.912,60.107,210.004,0,39,OFF,Learnt,21.234,28.930,8,105,0,799.812,801.500,61.900,62.531,1.910,0,0,0,0,0,0,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.770,928.010,132,1.165,1.139,1.653
193,-11.625,2.432,2.062,1.433,24.750,ON,98.266,94.016,0.420,0.374,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2363,180.100,1.252,258.225,1.405,493.350,1.774,354.350,1.569,0,-0.608,0.912,0,-0.912,62.372,210.004,2.560,39,OFF,Learnt,21.188,28.719,8,105,0,798.812,799.812,60.002,62.384,1.799,0.840,0,0,0,0.904,0.968,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.737,928.010,132,1.178,1.154,1.652
194,-9.250,2.429,2.075,1.434,24.750,ON,98.602,94.242,0.417,0.370,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2368,181.975,1.257,252.850,1.395,490.600,1.770,355.162,1.570,0,-0.608,0.912,0,-0.912,63.422,210.004,2.512,39,OFF,Learnt,21.234,28.430,8,105,0,799.812,801.500,63.780,63.373,1.831,1.184,0,0,0,0,0.888,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.705,929.254,133,1.162,1.128,1.653
195,-13.125,2.430,2.086,1.424,24.750,ON,98.719,94.461,0.415,0.369,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2369,183.162,1.260,248.225,1.385,485.287,1.763,354.350,1.569,0,-0.608,0.912,0,-0.912,62.549,210.004,2.092,39,OFF,Learnt,21.211,28.188,8,104,0,799.812,799.812,60.507,62.488,1.794,0.976,0,0,0,0,0.860,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.640,928.010,133,1.172,1.134,1.652
196,-12.375,2.430,2.098,1.433,24.750,ON,98.938,94.578,0.414,0.366,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2364,183.162,1.260,244.350,1.378,477.350,1.753,355.162,1.570,0,-0.608,0.912,0,-0.912,62.903,210.004,2.348,39,OFF,Learnt,21.211,27.930,8,104,0,801.500,799.812,59.876,62.848,1.823,1.468,0,0,0,0,0.932,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.608,929.254,133,1.149,1.136,1.653
197,-10.750,2.428,2.108,1.440,24.750,ON,99.164,94.797,0.411,0.364,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2367,183.787,1.261,239.725,1.371,467.600,1.740,355.162,1.570,0,-0.608,0.912,0,-0.912,63.385,210.004,2.584,39,OFF,Learnt,21.258,27.719,8,104,0,799.812,801.500,59.796,63.342,1.802,0.764,0,0,0,0.896,0.956,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.575,929.254,132,1.143,1.128,1.653
198,-9.500,2.429,2.118,1.443,24.750,ON,99.273,95.023,0.409,0.363,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2367,183.162,1.260,237.100,1.365,458.100,1.726,355.162,1.570,0,-0.608,0.912,0,-0.912,63.867,210.004,2.704,39,OFF,Learnt,21.234,27.508,8,104,0,801.500,801.500,61.012,63.825,1.732,1.408,0,0,0,0,0.920,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.543,929.254,133,1.124,1.117,1.654
199,-8.875,2.427,2.125,1.447,24.750,ON,99.391,95.250,0.406,0.361,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2366,182.537,1.259,234.475,1.360,446.912,1.710,355.162,1.570,0,-0.608,0.912,0,-0.912,64.038,210.004,2.960,39,OFF,Learnt,21.289,27.344,8,104,0,801.500,799.812,59.660,64.020,1.737,1.080,0,0,0,0.932,1.004,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.510,930.497,133,1.124,1.115,1.653
200,-10,2.427,2.134,1.442,24.750,ON,99.500,95.250,0.406,0.360,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2370,183.162,1.260,232.537,1.356,435.037,1.696,355.162,1.570,0,-0.608,0.912,0,-0.912,64.069,210.004,2.512,39,OFF,Learnt,21.289,27.164,8,104,0,799.812,801.500,59.940,64.020,1.692,1.552,0,0,0,0,0.940,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.478,930.497,133,1.117,1.112,1.655
201,-11,2.427,2.141,1.436,24.750,ON,99.727,95.359,0.405,0.358,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2373,183.787,1.261,230.537,1.354,424.225,1.677,355.162,1.570,0,-0.608,0.912,0,-0.912,63.294,210.004,2.488,39,OFF,Learnt,21.289,27,8,104,0,799.812,801.500,59.517,63.220,1.742,1.552,0,0,0,0,0.940,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.413,929.254,133,1.133,1.122,1.655
202,-15.625,2.428,2.151,1.413,24.750,ON,99.727,95.023,0.409,0.358,Const Drive,1.000,1.000,1.000,1.000,ON,OFF,No Action,Part Load,2365,182.537,1.259,228.037,1.348,413.537,1.661,355.162,1.570,0,-0.608,0.912,0,-0.912,61.914,210.004,1.596,39,OFF,Learnt,21.258,26.789,8,104,0,801.500,801.500,60.651,61.902,1.769,0.752,0,0,0,0,0.824,CAN and Hardwired,82.812,9.550,99.609,0,OFF,8.381,930.497,133,1.205,1.123,1.655
